,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
830,L6YHGH2,Multi Veh - Unclear Liab,Closed without Payment,2,BLACK,REARVIEW MIRROR DAM,FORESTER 2,2018,Automobile,Driver Front Corner,None,21-50 mph
833,JII19NW,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FRONT BUMPER AND FE,PATHFINDER,2013,Automobile,Passenger Front Corner,None,Below 10 mph
836,2P7SSZC,Single Veh,Closed with Payment,2,Red,MINOR DAMAGE TO THE,FIT SPORT,2007,Automobile,Complete Front End,None,Unknown
842,LJLOP80,Multi Veh - Unclear Liab,Closed with Payment,3,BLACK,DMG TO THE R/E AND,RDX AWD,2011,Automobile,Driver Rear Corner,None,21-50 mph
846,4CO1NOB,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,UNKOWN,328I,2011,Automobile,Passenger Front Corner,None,Unknown
850,GBLATIW,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,POI: FRONT END P/S,PATHFINDER,2012,Automobile,Passenger Front Corner,None,10-20 mph
854,38TR180,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,FRONT BUMPER GRILLE,TRAVERSE L,2016,Automobile,Complete Front End,None,Below 10 mph
869,6W77WI3,Multi Veh - Unclear Liab,Closed without Payment,1,Silver,FRONT END DAMAGE,Q5 PREMIUM,2016,Automobile,Complete Front End,None,Unknown
871,PYQ51B0,Multi Veh - Unclear Liab,Closed without Payment,0,MAROON,"D/S REAR BUMPER, TR",GRAND CHER,1999,Automobile,Driver Rear Corner,None,Parked or Stopped
873,GTUYJ52,Multi Veh - Unclear Liab,Closed without Payment,1,White,WHOLE P/S IS SMASHE,SILVERADO,1999,Automobile,Complete Passenger Side,None,21-50 mph
876,4T0YRBJ,Multi Veh - Unclear Liab,Closed with Payment,1,Black,VERIFY DAMAGES TO T,RAV4 LIMIT,2015,Automobile,Passenger Center,None,21-50 mph
892,Y3J2YKX,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,P/S DMGS,HIGHLANDER,2008,Automobile,Complete Passenger Side,None,Parked or Stopped
900,NG7UDV0,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,"DOOR, WHEEL DAMAGE",H2,2003,Automobile,Driver Front Corner,None,Below 10 mph
906,36UUIOY,Multi Veh - Unclear Liab,Closed with Payment,3,RED,DMG TO GRILL HOOD A,CIVIC EX,2015,Automobile,Complete Front End,None,Unknown
909,Z3DYMK6,Multi Veh - Unclear Liab,Closed without Payment,1,Blue,DAMAGE TO PASSENGER,TSX,2007,Automobile,Passenger Rear Corner,None,Parked or Stopped
915,0E9YG83,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,POI: UNK,200 LX,2011,Automobile,Driver Front Corner,One,Unknown
917,N5BG2MN,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI: FRONT END SMAS,CALIBER SX,2007,Automobile,Complete Front End,More than one,Unknown
919,7WOX6AS,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI//REAR BMPR-SMAL,FUSION SE,2013,Automobile,Complete Rear End,None,Parked or Stopped
922,AP1C1GO,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,INTERNAL DAMAGE TO,ALTIMA,2015,Automobile,Complete Front End,More than one,10-20 mph
928,GSE7APU,Multi Veh - Unclear Liab,Closed with Payment,4,Silver,"HOOD BENT UP,",PILOT,2015,Automobile,Passenger Front Corner,None,Unknown
931,8M0NR0X,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI:FRT MID BUMPER,GRAND PRIX,2004,Automobile,Complete Front End,None,Below 10 mph
939,URS5T1G,Multi Veh - Unclear Liab,Closed without Payment,1,RED,POI D/S REAR DOOR D,CTS LUXURY,2012,Automobile,Driver Center,More than one,21-50 mph
942,NL71I21,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,DMG TO COMPLETE D/S,CAMRY LE/C,2004,Automobile,Complete Driver Side,None,Unknown
948,PALBGH7,Multi Veh - Unclear Liab,Closed without Payment,1,GREY,DAMAGE TO P/S REAR,RDX AWD,2010,Automobile,Passenger Rear Corner,None,Unknown
950,QD8N6WW,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,BROKE WSHIELD FRONT,JETTA TDI,2013,Automobile,Complete Front End,More than one,Over 50 mph
953,BW5QOX0,Multi Veh - Unclear Liab,Closed with Payment,1,BURGUNDY,COMPLETE F/E,ELANTRA LT,2015,Automobile,Complete Front End,One,Unknown
965,J7PNTOT,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,REAR DOOR DMG,CAMRY BASE,2005,Automobile,Driver Center,None,Unknown
969,CVXGVM3,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,"HOOD, PASS SIDE FEN",OPTIMA LX,2010,Automobile,Complete Front End,One,21-50 mph
975,M1L7FGN,Multi Veh - Unclear Liab,Closed without Payment,0,WHITE,MISSING LICENSE PLA,328I,2009,Automobile,Passenger Front Corner,None,Unknown
979,C4VV3C0,Multi Veh - Unclear Liab,Closed with Payment,1,DRK GREE,POI: R/E P/S LIGHT,SILVERADO,2007,Automobile,Passenger Rear Corner,None,Below 10 mph
985,DLXRBIH,Multi Veh - Unclear Liab,Closed with Payment,1,Green,UNK FRONT END,HIGHLANDER,2008,Automobile,Complete Front End,Unknown,Unknown
987,8QVEVQB,Single Veh,Closed with Payment,2,RED,POI: DMG UNKNOWN,323CI,2000,Automobile,Driver Front Corner,None,10-20 mph
989,2TE58E9,Multi Veh - Clear Liab,Closed with Payment,2,WHITE,SUPP,ES 350,2016,Automobile,Complete Rear End,None,Parked or Stopped
1001,I6M420O,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,POI: R/E UNK TOTAL,XL7,2008,Automobile,Complete Rear End,None,Parked or Stopped
1002,JQGLJHQ,Multi Veh - Unclear Liab,Closed without Payment,2,Beige, NONE,EXPLORER,2008,Automobile,No Damage,None,Unknown
1004,IITJIND,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,UNKNOWN DAMAGE D/S,CRUZE ECO,2014,Automobile,Driver Front Corner,Unknown,Unknown
1006,45QRFHC,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI:REAR BUMPER D/S,ACCORD EX,2002,Automobile,Driver Rear Corner,None,Parked or Stopped
1014,LGBIUNF,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,"TIRE ROD, P/S DOOR",SONIC LT,2015,Automobile,Passenger Front Corner,None,Below 10 mph
1018,50JPHXM,Multi Veh - Unclear Liab,Closed without Payment,1,Black,NONE,MAZDA6 I/I,2006,Automobile,Complete Rear End,Unknown,Unknown
1020,29P9UV0,Multi Veh - Unclear Liab,Closed with Payment,5,Blue,D/S QTR PANEL/REAR,ACCORD EX,2013,Automobile,Driver Rear Corner,None,21-50 mph
1022,FLOK14N,Multi Veh - Unclear Liab,Closed without Payment,1,Silver,POI: REAR BUMPER FA,XV CROSSTR,2015,Automobile,Complete Rear End,None,10-20 mph
1026,9D4ULJ8,Multi Veh - Unclear Liab,Closed with Payment,2,RED,P/S FRONT DOOR DENT,TERRAIN SL,2014,Automobile,Passenger Center,None,Below 10 mph
1030,BAECGD9,Multi Veh - Unclear Liab,Closed with Payment,2,RED,POI: D/S DOOR SAVED,SENTRA,1900,Automobile,Driver Center,None,10-20 mph
1034,FDBRVKR,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,FRONT END,CARAVAN SE,2003,Automobile,Complete Front End,More than one,Unknown
1038,7GMLDWR,Multi Veh - Unclear Liab,Closed without Payment,1,Black,POI  REAR END BUT U,SENTRA BAS,2012,Automobile,Driver Front Corner,None,Parked or Stopped
1040,Y6ZIY8Y,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI: P/S F LIGHT BU,ODYSSEY EX,2003,Automobile,Passenger Front Corner,More than one,21-50 mph
1044,YAZC2UL,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,FRONT PASSENGER SID,ARMADA SE/,2005,Automobile,Passenger Front Corner,None,Below 10 mph
1047,JR1FALO,Multi Veh - Unclear Liab,Closed with Payment,1,Maroon,POI\DMG:FRONT BUMPE,CAMRY,2002,Automobile,Passenger Front Corner,None,Parked or Stopped
1053,QLAI40J,Multi Veh - Unclear Liab,Closed without Payment,0,GREY,DAMAGE TO REAR AND,XV CROSSTR,2013,Automobile,Complete Rear End,None,Parked or Stopped
1056,R6SER4L,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,ENTIRE FRONT END,XC90 T6 AW,2004,Automobile,Complete Front End,None,Unknown
1059,K20MW9X,Multi Veh - Clear Liab,Closed with Payment,1,TAN,PS REAR QUARTER PAN,FIVE HUNDR,2006,Automobile,Passenger Rear Corner,None,Parked or Stopped
1062,L0EQ7SG,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,POI: D/S REAR END -,COROLLA,2007,Automobile,Driver Rear Corner,None,Parked or Stopped
1066,UI5VEK2,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,"WINDSHIELD CRACKED,",JETTA SE,2012,Automobile,Complete Front End,More than one,Unknown
1070,SAHVOCU,Multi Veh - Unclear Liab,Closed without Payment,0,Green,PASS SIDE FRONT FND,SEBRING TO,2005,Automobile,Passenger Front Corner,None,Unknown
1086,XLWTN5V,Single Veh,Closed with Payment,1,GREEN,FRONT BUMPER IS BAN,F-250 SUPE,2001,Automobile,Complete Front End,More than one,Over 50 mph
1088,DRSOIBW,Multi Veh - Unclear Liab,Closed without Payment,1,UNKNOWN,POI/DMG UNKNOWN,SL2,2001,Automobile,Driver Front Corner,None,Unknown
1116,P06C476,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,BUMPER DMGE,ML350 4MAT,2010,Automobile,Complete Front End,None,Unknown
1122,ZSZR6FX,Multi Veh - Unclear Liab,Closed without Payment,0,SILVER,UNKNOWN EXTENT,ROGUE,2018,Automobile,Complete Front End,Unknown,Unknown
1126,N59MMK9,Multi Veh - Unclear Liab,Closed with Payment,2,Blue,POI/ P/S BOTH DOORS,ACADIA SLE,2012,Automobile,Passenger Center,More than one,21-50 mph
1134,LCI61NN,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,PRIMARY POINT OF DA,SC 430,2006,Automobile,Complete Front End,One,21-50 mph
1140,BS57QDD,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,"RADIATOR DMG, FENDE",ELANTRA GL,2012,Automobile,Complete Front End,One,10-20 mph
1142,X7L7H0M,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,PASS SIDE FRNT FNDR,TL,2010,Automobile,Passenger Front Corner,More than one,Below 10 mph
1146,N89YWZ3,Single Veh,Closed with Payment,1,BLACK,POI:CPL F/E BMP PUS,F-150 SUPE,2006,Automobile,Complete Front End,One,21-50 mph
1149,FKZO5PU,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,FRONT AND REAR END,200 LIMITE,2011,Automobile,Complete Front End,More than one,Parked or Stopped
1153,BJ1WMVR,Single Veh,Closed with Payment,1,GRAY,ALL OVER DMG,CR-V LX,2010,Automobile,All Over,More than one,Unknown
1155,B2EFX9I,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,D/S FRONT IS DAMAGE,MEGA CAB P,2015,Automobile,Driver Front Corner,None,21-50 mph
1157,HSWE1TY,Multi Veh - Unclear Liab,Closed with Payment,1,GREY,BUMPER DMG,ACCORD LX,2003,Automobile,Complete Front End,None,Unknown
1159,OZGD0R1,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: UNK,AVALANCHE,2007,Automobile,Driver Front Corner,None,Unknown
1162,DE3HOEI,Multi Veh - Unclear Liab,Closed without Payment,1,Black,REAR END PUSHED IN,VERSA S/S,2016,Automobile,Complete Rear End,None,Parked or Stopped
1170,7IMAOQH,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,CPMT RR END SMSHD E,S4 QUATTRO,2015,Automobile,Complete Rear End,None,Parked or Stopped
1172,LX12HUB,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI/DMG: F/E FENDER,PRIZM BASE,2000,Automobile,Driver Front Corner,More than one,Unknown
1176,XOQWN2Q,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,PRIMARY POINT OF DA,IMPREZA 2.,2014,Automobile,Complete Front End,Unknown,Unknown
1182,8TZTF0V,Multi Veh - Unclear Liab,Closed without Payment,1,RED,"BUMPER, HOOD, GRILL",CAMARO 2SS,2011,Automobile,Complete Front End,None,21-50 mph
1188,5LMY0CL,Multi Veh - Unclear Liab,Closed with Payment,3,GRAY,TRUNK AJAR AND FRON,TAURUS SE,2015,Automobile,Complete Front End,None,Parked or Stopped
1190,CHAMSV4,Single Veh,Closed with Payment,3,SILVER,SCRAPING DOOR AND F,CIVIC LX,2012,Automobile,Driver Center,One,Below 10 mph
1196,AXSXH3F,Multi Veh - Unclear Liab,Closed with Payment,3,RED BURG,"BUMPER, HOOD.  WHEE",COROLLA L/,2014,Automobile,Complete Front End,None,21-50 mph
1202,90S22VG,Multi Veh - Unclear Liab,Closed without Payment,0,UNKNOWN,PRIMARY POINT OF DA,SILVERADO,2009,Automobile,Complete Front End,None,Unknown
1205,0XO25AD,Multi Veh - Unclear Liab,Closed with Payment,4,Black,PRIMARY POINT OF DA,Q7 QUATTRO,2018,Automobile,Complete Rear End,None,Parked or Stopped
1213,QRY6A0W,Single Veh,Closed without Payment,0,SILVER,POI: NONE,SEDONA LX/,2006,Automobile,No Damage,None,Parked or Stopped
1219,QNMYGHF,Multi Veh - Clear Liab,Closed without Payment,0,RED,D/S REAR DAMAGE,JETTA SE/W,2018,Automobile,Driver Rear Corner,None,Unknown
1221,EE4RBE4,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,"WINDSHIELD CRACKED,",FIESTA SE,2012,Automobile,Complete Front End,More than one,21-50 mph
1223,YOPG77L,Multi Veh - Unclear Liab,Closed without Payment,1,Red,R/E DMG,PATHFINDER,2014,Automobile,Complete Rear End,None,Parked or Stopped
1227,VDSNGW7,Multi Veh - Unclear Liab,Closed without Payment,2,Black,D/S FRONT DOOR DENT,PILOT EX E,2016,Automobile,Driver Center,None,10-20 mph
1229,7VTKATQ,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI DS DOOR PUSHED,COROLLA L/,2015,Automobile,Driver Center,One,Below 10 mph
1244,4H2NWGX,Single Veh,Closed with Payment,1,GRAY,POI ENTIRE  D/S DNT,CAMRY CE/L,2008,Automobile,Complete Driver Side,None,Over 50 mph
1246,JKMFN5Q,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,FRONT BUMPER NO DMG,CAMRY BASE,2006,Automobile,Complete Front End,None,Unknown
1248,XVSGO0U,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,D/S R/E DMG.,SILVERADO,2014,Automobile,Driver Rear Corner,None,Parked or Stopped
1250,P36356W,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI: BACK END PUSHE,MUSTANG,2010,Automobile,Complete Rear End,None,Parked or Stopped
1260,YHF8QJ0,Multi Veh - Clear Liab,Closed without Payment,2,Black,REAR BUMPER AND TRU,C300,2018,Automobile,Complete Rear End,None,Below 10 mph
1272,6EMDFPE,Single Veh,Closed with Payment,1,BLACK,POI:FRNT BMPR  DMGS,CORVETTE,2009,Automobile,Complete Front End,More than one,Unknown
1293,I5RA5EA,Single Veh,Closed without Payment,1,BLACK,DRIVER FRONT CORNER,EDGE SEL P,2007,Automobile,Driver Front Corner,None,21-50 mph
1299,PS5JKCC,Single Veh,Closed with Payment,1,BLUE,P/S REAR DOOR AND B,X3 XDRIVE,2014,Automobile,Passenger Rear Corner,None,Unknown
1301,56ZB9OS,Single Veh,Closed with Payment,1,RED,DENT IN TANK BOTH D,FXDWG,2002,Specialty Auto,Passenger Center,None,21-50 mph
1304,FRDSF0T,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"HOOD POPPED OPEN, R",SONATA HYB,2015,Automobile,Complete Front End,None,21-50 mph
1306,FKHCLEP,Single Veh,Closed with Payment,1,RED,POI: FRONT BUMPER H,F-150 SUPE,2003,Automobile,Complete Front End,More than one,21-50 mph
1308,W1VIQIE,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,FRONT REFLECTORS,X5 50I AWD,2011,Automobile,Complete Front End,None,Unknown
1314,PRC7IY2,Multi Veh - Unclear Liab,Closed without Payment,1,White,CENTER OF BUMPER DM,ECONOLINE,2008,Automobile,Complete Rear End,None,Parked or Stopped
1316,RBT9OFJ,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,WHOLE FRONT END SMA,TSX,2010,Automobile,Complete Front End,More than one,21-50 mph
1320,FTVVYAA,Multi Veh - Unclear Liab,Closed with Payment,3,Black,POI: F/E BUMPER/HOO,CX-9 AWD,2010,Automobile,Complete Front End,None,Unknown
1332,EENYUE7,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,BOTH ENDS DAMAGED;,PATRIOT SP,2014,Automobile,Complete Front End,None,Parked or Stopped
1335,HAJBGWZ,Multi Veh - Unclear Liab,Closed with Payment,2,CHARCOAL,POI: FRONT BUMPER D,CHARGER,2012,Automobile,Complete Front End,None,21-50 mph
1356,EERZEUV,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,POI: D/S FRONT END,X6 M AWD,2012,Automobile,Driver Front Corner,None,10-20 mph
1362,T2SNY5E,Single Veh,Closed with Payment,1,GRANITE,D/S BUMPER DAMAGE,ES 350,2007,Automobile,Driver Rear Corner,None,Unknown
1368,5SP5E36,Multi Veh - Clear Liab,Closed with Payment,3,WHITE,BUMPER DAMAGE AND H,IMPREZA 2.,2016,Automobile,Complete Front End,None,10-20 mph
1372,08KJIXO,Multi Veh - Unclear Liab,Closed with Payment,4,Magnetic Gray,SUPP,RAV4 XLE,2015,Automobile,Passenger Rear Corner,None,Parked or Stopped
1374,SQ9T3EO,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,POI: RR TRUNK PUSHE,CAMARY,2011,Automobile,Complete Rear End,None,21-50 mph
1380,6HP95H9,Multi Veh - Unclear Liab,Closed with Payment,3,SILVER,REAR P/S DOOR,MALIBU LT,2011,Automobile,Complete Front End,One,Unknown
1382,XPV43KE,Multi Veh - Unclear Liab,Closed with Payment,1,RED,PASSENGER FRONT END,LEAF S/SV/,2013,Automobile,Complete Front End,More than one,Unknown
1388,4D7ZVRH,Multi Veh - Unclear Liab,Closed with Payment,2,DAYTONA GRAY P,F/E DMG MOSTLY ON D,Q5 TDI QUA,2016,Automobile,Complete Front End,None,10-20 mph
1406,2J7KNSH,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: F/E BUMPER PUS,CAMRY BASE,2005,Automobile,Complete Front End,None,Unknown
1408,G30S1MS,Multi Veh - Unclear Liab,Closed with Payment,2,RED,DAMAGE TO FRONT END,OUTBACK,2016,Automobile,Complete Front End,More than one,21-50 mph
1417,UEGXD6N,Single Veh,Closed without Payment,1,SILVER,POI: D/S WINDSHIELD,RIO EX,2012,Automobile,Complete Front End,None,10-20 mph
1421,OQIGCE9,Multi Veh - Unclear Liab,Closed without Payment,1,DARK GRA,POI: REAR BUMPER SC,ACCORD,2012,Automobile,Complete Rear End,None,Parked or Stopped
1424,73T38VQ,Multi Veh - Unclear Liab,Closed without Payment,1,gray,POI: F/E CENTER CRU,ODYSSEY,2006,Automobile,Complete Front End,None,Below 10 mph
1427,S1RSFER,Multi Veh - Unclear Liab,Closed with Payment,3,Silver,POI: FRONT AND REAR,328I XDRIV,2014,Automobile,Complete Rear End,None,Parked or Stopped
1430,YCAVSUL,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,UNSPEC DMG TO FRONT,PICKUP 150,2014,Automobile,Complete Front End,More than one,Over 50 mph
1438,22LFE2R,Multi Veh - Unclear Liab,Closed without Payment,2,BURG,REAR END BACK HATCH,TOWN & COU,2001,Automobile,Complete Rear End,None,Parked or Stopped
1440,JO1VD0S,Multi Veh - Unclear Liab,Closed without Payment,2,Silver,HOOD IS PUSHED IN B,ALTIMA XE/,2000,Automobile,Complete Front End,None,21-50 mph
1443,M7F21KM,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,"RE PS TRUNK,LIGHTS,",SEDONA LX/,2005,Automobile,Passenger Rear Corner,None,Below 10 mph
1445,5152ZRF,Multi Veh - Unclear Liab,Closed with Payment,1,BEIGE,POI UNKNOWN BY AGT,300 LIMITE,2010,Automobile,Driver Front Corner,Unknown,Unknown
1447,9TNUI30,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,D/S FRONT BUMPER FE,CAMRY LE/S,2017,Automobile,Driver Front Corner,None,10-20 mph
1453,FTD4OZ0,Multi Veh - Unclear Liab,Closed with Payment,1,BURGUNDY,COMPLETE FRONT END-,TAURUS SE,2006,Automobile,Complete Front End,None,21-50 mph
1455,1VB8HR1,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: COMPLETE FRONT,CR-V LX,2001,Automobile,Complete Front End,More than one,Unknown
1457,BD1HMUR,Multi Veh - Unclear Liab,Closed without Payment,1,Blue,POI P/S FRNT BMPR/F,CAMRY CE/L,2007,Automobile,Passenger Front Corner,None,10-20 mph
1461,MBKNAQQ,Multi Veh - Unclear Liab,Closed with Payment,1,Blue,POI: UNK DAMAGE TO,LEGACY OUT,2004,Automobile,Driver Front Corner,None,Parked or Stopped
1463,5HHBA7O,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,EXTENSIVE DMGS-PLS,RAV4 LIMIT,2010,Automobile,All Over,Unknown,Unknown
1467,N3JGZQU,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,P/S RR BUMPER TRUNK,ACCORD EX,2004,Automobile,Passenger Rear Corner,One,10-20 mph
1471,WAZC6JZ,Multi Veh - Unclear Liab,Closed without Payment,1,Unknown,NO DAMAGE,CAMRY L/LE,2014,Automobile,No Damage,None,Parked or Stopped
1479,KUC21LI,Multi Veh - Unclear Liab,Closed without Payment,1,UNKNOWN,PRIMARY POINT OF DA,DURANGO SP,2001,Automobile,No Damage,None,Parked or Stopped
1481,2GV2BKK,Multi Veh - Unclear Liab,Closed with Payment,3,Silver,P/S HEADLIGHT IS BR,Q5 QUATTRO,2012,Automobile,Passenger Front Corner,None,Unknown
1487,GJU7U78,Single Veh,Closed with Payment,1,Gold,P/S REAR DOOR DENTE,COROLLA CE,2003,Automobile,Passenger Center,None,Below 10 mph
1491,I19NWMG,Multi Veh - Unclear Liab,Closed with Payment,3,White,POI: FRONT BUMPER P,RANGER,1997,Automobile,Complete Front End,None,21-50 mph
1494,3VZT41L,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,FRT BUMPER AND GRIL,SORENTO BA,2011,Automobile,Complete Front End,None,Below 10 mph
1498,43ESRIT,Multi Veh - Unclear Liab,Closed without Payment,0,Gray,DRVR REAR BUMPER,COROLLA L/,2013,Automobile,Driver Rear Corner,None,Parked or Stopped
1502,X7TEIPB,Single Veh,Closed with Payment,2,Red,FRONT BUMPER GRILL,SILVERADO,2014,Automobile,Complete Front End,One,10-20 mph
1504,NMKAVU8,Multi Veh - Unclear Liab,Closed with Payment,1,BEIGE,POI: SMUSHED IN TOT,ACCORD VAL,1997,Automobile,Complete Front End,None,21-50 mph
1508,34FTOUZ,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,"FRT BUMPER, BOTH HD",ODYSSEY EX,2001,Automobile,Complete Front End,None,21-50 mph
1511,BM2EVH6,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,"SEVERE DMG TO F/E,",X5 XDRIVE,2018,Automobile,Complete Front End,More than one,21-50 mph
1515,SL1QIFE,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,UNK FRONT END DMG,UNKNOWN,1900,Automobile,Complete Front End,None,Unknown
1517,1RD4EC7,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI: FRNT END DMG E,YARIS BASE,2009,Automobile,Driver Front Corner,Unknown,Unknown
1521,SQW1R8F,Multi Veh - Unclear Liab,Closed without Payment,1,Red,POI/ FRT BUMPER IS,GALANT ES,2004,Automobile,Complete Front End,None,Below 10 mph
1529,M7212IX,Multi Veh - Unclear Liab,Closed with Payment,3,LIGHT BLUE,SUPP,COROLLA LE,2020,Automobile,Passenger Rear Corner,None,10-20 mph
1533,8R2YSJX,Multi Veh - Unclear Liab,Closed without Payment,0,Silver,UNKNOWN,RENDEZVOUS,2007,Automobile,Driver Front Corner,More than one,10-20 mph
1539,18XAUPC,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER/G,BACK BUMPER KIND OF,SONATA SE/,2011,Automobile,Complete Rear End,None,Parked or Stopped
1551,58OS1IS,Multi Veh - Unclear Liab,Closed with Payment,1,RED,ENTIRE REAR END SMA,ROGUE SELE,2014,Automobile,Complete Rear End,None,Parked or Stopped
1557,NPLDN6M,Multi Veh - Unclear Liab,Closed with Payment,3,White,FRT D/S SMASHED AND,ROGUE AWD,2016,Automobile,Driver Front Corner,None,Parked or Stopped
1573,SIUO12M,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,SUPP RT FT FEND,LEGACY 2.5,2010,Automobile,Passenger Front Corner,None,21-50 mph
